payload_offset,first_raw_u16,second_raw_u16,changed,existing_302_mapping,candidate_unverified
44,13192,13192,False,,
46,50000,50000,False,,
48,0,0,False,,
50,0,0,False,,
52,2,2,False,,
54,65535,65535,False,,
56,211,211,False,,
58,0,0,False,,
60,38395,38395,False,,
62,0,0,False,,
64,520,521,True,,Monthly PV energy
66,3132,3134,True,,Monthly load energy
68,379,379,False,,Monthly grid energy
70,10810,10811,True,,
72,0,0,False,,
74,1,1,False,,Daily battery charge
76,0,0,False,,Daily battery discharge
78,19625,19625,False,battery_charge_total,
80,0,0,False,battery_charge_total,
82,13952,13952,False,battery_discharge_total,
84,0,0,False,battery_discharge_total,
86,54,55,True,,Daily grid import
88,0,0,False,,
90,47136,47137,True,grid_import_total,
92,4995,5003,True,grid_frequency,
94,1,1,False,grid_import_total,
96,18,18,False,grid_export_total,
98,0,0,False,grid_export_total,
100,0,0,False,,Daily grid export
102,52,54,True,,Daily load energy
104,19979,19980,True,load_consumption_total,
106,2,2,False,load_consumption_total,
108,36272,36274,True,,
110,0,0,False,,
112,1000,1000,False,,
114,1509,1510,True,inverter_temperature_dc,
116,1429,1430,True,inverter_temperature_ac,
118,0,0,False,,
120,1,1,False,,
122,2000,2000,False,,
124,0,0,False,,
126,54341,54341,False,pv_production_total,
128,0,0,False,pv_production_total,
130,8139,8139,False,,
132,0,0,False,,
134,2561,2561,False,,
136,0,0,False,,
138,0,0,False,,
140,0,0,False,,
142,0,0,False,,
144,0,0,False,,
146,0,0,False,,
148,100,100,False,battery_capacity,
150,0,1,True,,Daily PV energy
152,1744,1741,True,pv_voltage_1,
154,17,21,True,pv_current_1,
156,115,115,False,pv_voltage_2,
158,0,0,False,pv_current_2,
160,0,0,False,pv_voltage_3,
162,0,0,False,pv_current_3,
164,0,0,False,,
166,0,0,False,,
168,0,0,False,,
170,0,0,False,,
172,26114,31234,True,,
174,428,428,False,,
176,2,2,False,,
178,53086,53086,False,,
180,8616,8613,True,,
182,42,42,False,,
184,2318,2351,True,grid_voltage,
186,0,0,False,,
188,2318,2351,True,,
190,0,0,False,,
192,2317,2352,True,load_voltage,
194,0,0,False,,
196,2317,2352,True,,
198,2357,2390,True,,
200,0,0,False,,
202,0,0,False,,
204,143,145,True,grid_current,
206,0,0,False,,
208,309,333,True,,
210,0,0,False,,
212,150,150,False,load_current,
214,0,0,False,,
216,0,0,False,,
218,332,302,True,grid_power_l1,
220,0,0,False,,
222,350,322,True,grid_power,
224,350,322,True,,
226,0,0,False,,
228,350,322,True,grid_power_ct,
230,275,332,True,,
232,0,0,False,,
234,275,332,True,inverter_power,
236,625,654,True,,
238,0,0,False,,
240,625,654,True,load_power,
242,607,634,True,ups_power (SolarProxxie extension),
244,0,0,False,,
246,100,100,False,,
248,1223,1223,False,battery_temperature,
250,5430,5430,False,battery_voltage,
252,99,99,False,battery_soc,
254,607,634,True,,
256,305,362,True,pv_power_1,
258,0,0,False,pv_power_2,
260,0,0,False,pv_power_3,
262,0,0,False,,
264,65511,65513,True,battery_power,
266,65489,65493,True,battery_current,
268,4995,5001,True,load_frequency,
270,4995,5001,True,,Inverter frequency
272,1,1,False,grid_connected,
274,20496,20496,False,,
276,0,0,False,,
278,99,99,False,,
280,0,0,False,,
282,0,0,False,,
284,100,100,False,,
286,2,2,False,bms_charge_voltage,
288,5440,5440,False,,
290,0,0,False,bms_charge_limit_current,
292,0,0,False,bms_discharge_limit_current,
294,104,104,False,,
296,99,99,False,bms_voltage,BMS SOC
298,5399,5398,True,bms_current,
300,0,0,False,bms_temperature,
302,1223,1223,False,,
304,0,0,False,,
